start_lat,start_lng,end_lat,end_lng,seq,trip_id
50.007367,19.925161,50.007455,19.925201,16636.0,1579
50.007455,19.925201,50.007455,19.925201,16665.0,1579
50.007455,19.925201,50.007474,19.92521,16694.0,1579
50.007474,19.92521,50.007706,19.925322,17036.0,1583
50.007706,19.925322,50.008373,19.925676,17066.0,1583
50.008373,19.925676,50.008661,19.925829,17096.0,1583
50.008661,19.925829,50.009686,19.926381,17126.0,1583
50.009152,20.011138,50.009709,20.009886,3129.0,1652
50.009686,19.926381,50.010134,19.926621,17156.0,1583
50.009709,20.009886,50.009999,20.009235,3138.0,1652
50.010112,20.008973,50.010237,20.008694,3156.0,1652
50.010134,19.926621,50.010278,19.926703,17186.0,1583
50.010237,20.008694,50.010297,20.00857,3165.0,1652
50.010278,19.926703,50.01048,19.926827,17216.0,1583
50.010297,20.00857,50.010388,20.008374,3174.0,1652
50.010388,20.008374,50.010571,20.007969,3183.0,1652
50.01048,19.926827,50.010665,19.926941,17246.0,1583
50.010571,20.007969,50.010574,20.00796,3192.0,1652
50.010665,19.926941,50.010762,19.926995,17276.0,1583
50.010762,19.926995,50.011189,19.927234,17306.0,1583
50.011189,19.927234,50.011408,19.927335,17336.0,1583
50.011219,20.006527,50.011432,20.006022,3219.0,1652
50.011267,19.926454,50.011268,19.926473,17624.0,1581
50.011269,19.926436,50.011267,19.926454,17595.0,1581
50.011272,19.926421,50.011269,19.926436,17566.0,1581
50.011283,19.926378,50.011272,19.926421,17537.0,1581
50.011296,19.926332,50.011283,19.926378,17508.0,1581
50.011313,19.926265,50.011296,19.926332,17479.0,1581
50.011334,19.926188,50.011313,19.926265,17450.0,1581
50.011356,19.926108,50.011334,19.926188,17421.0,1581
50.011367,19.926068,50.011356,19.926108,17392.0,1581
50.011375,19.926034,50.011367,19.926068,17363.0,1581
50.011405,19.925919,50.011375,19.926034,17334.0,1581
50.011408,19.927335,50.011438,19.927208,16580.0,1581
50.011432,20.006022,50.011876,20.005028,3228.0,1652
50.011438,19.925892,50.011405,19.925919,17305.0,1581
50.011438,19.927208,50.011476,19.927046,16609.0,1581
50.011465,19.925874,50.011438,19.925892,17276.0,1581
50.011476,19.927046,50.011509,19.926913,16638.0,1581
50.011499,19.925863,50.011465,19.925874,17247.0,1581
50.011509,19.926913,50.011528,19.926824,16667.0,1581
50.011528,19.926824,50.011544,19.926753,16696.0,1581
50.011539,19.925854,50.011499,19.925863,17218.0,1581
50.011544,19.926753,50.011565,19.926658,16725.0,1581
50.011565,19.926658,50.011573,19.926619,16754.0,1581
50.011573,19.926619,50.011581,19.926587,16783.0,1581
50.011576,19.925915,50.011539,19.925854,17189.0,1581
50.011581,19.926587,50.011599,19.926502,16812.0,1581
50.011599,19.926502,50.011617,19.92642,16841.0,1581
50.011617,19.92642,50.011624,19.926388,16870.0,1581
50.011621,19.925991,50.011576,19.925915,17160.0,1581
50.011624,19.926388,50.011658,19.926234,16899.0,1581
50.011639,19.926026,50.011621,19.925991,17131.0,1581
50.011654,19.926059,50.011639,19.926026,17102.0,1581
50.011658,19.926234,50.011664,19.926208,16928.0,1581
50.011662,19.926086,50.011654,19.926059,17073.0,1581
50.011664,19.926208,50.011669,19.926179,16957.0,1581
50.011669,19.926126,50.011662,19.926086,17044.0,1581
50.011669,19.926179,50.01167,19.926154,16986.0,1581
50.01167,19.926154,50.011669,19.926126,17015.0,1581
50.011876,20.005028,50.0119,20.004973,3237.0,1652
50.0119,20.004973,50.011993,20.004776,3246.0,1652
50.028702,19.958758,50.028763,19.958451,3201.0,1761
50.028763,19.958451,50.028796,19.958296,3209.0,1761
50.028796,19.958296,50.028888,19.957904,3217.0,1761
50.028888,19.957904,50.028973,19.957484,3225.0,1761
50.028973,19.957484,50.028985,19.957424,3233.0,1761
50.028985,19.957424,50.029042,19.957143,3249.0,1761
50.029042,19.957143,50.029093,19.956878,3257.0,1761
50.030532,19.950617,50.030672,19.95029,3369.0,1761
50.030672,19.95029,50.030827,19.949959,3377.0,1761
50.030827,19.949959,50.031064,19.949522,3385.0,1761
50.031064,19.949522,50.031269,19.949198,3393.0,1761
50.031269,19.949198,50.031449,19.948949,3401.0,1761
50.031449,19.948949,50.031478,19.948911,3409.0,1761
50.031478,19.948911,50.031529,19.948844,3417.0,1761
50.031529,19.948844,50.031618,19.948658,3425.0,1761
50.031618,19.948658,50.031805,19.948423,4816.0,2075
50.031805,19.948423,50.031936,19.948258,4828.0,2075
50.031936,19.948258,50.031936,19.948258,6069.0,2708
50.031936,19.948258,50.032165,19.947972,4344.0,1918
50.032165,19.947972,50.032343,19.94775,4355.0,1918
50.032343,19.94775,50.032803,19.947173,4366.0,1918
50.032803,19.947173,50.032876,19.947081,4377.0,1918
50.032876,19.947081,50.033005,19.946917,4388.0,1918
50.033005,19.946917,50.033298,19.946551,4399.0,1918
50.033298,19.946551,50.03349,19.946308,4410.0,1918
50.03349,19.946308,50.033552,19.946235,4421.0,1918
50.033552,19.946235,50.033826,19.945883,4432.0,1918
50.033826,19.945883,50.033902,19.945781,4443.0,1918
50.033902,19.945781,50.033968,19.945686,4454.0,1918
50.033968,19.945686,50.034054,19.945564,4465.0,1918
50.034054,19.945564,50.034203,19.945335,4476.0,1918
50.034203,19.945335,50.034314,19.945148,4487.0,1918
50.034314,19.945148,50.03449,19.944832,4498.0,1918
50.03449,19.944832,50.034539,19.944738,4509.0,1918
50.034539,19.944738,50.034654,19.944503,4520.0,1918
50.034654,19.944503,50.034754,19.944283,4531.0,1918
50.034754,19.944283,50.034821,19.944136,4542.0,1918
50.034821,19.944136,50.034881,19.943998,4553.0,1918
50.034881,19.943998,50.035274,19.943084,4564.0,1918
50.035274,19.943084,50.035489,19.942574,4575.0,1918
50.035489,19.942574,50.03569,19.942137,4586.0,1918
50.03569,19.942137,50.035738,19.942031,4597.0,1918
50.035782,19.941942,50.035975,19.941658,4619.0,1918
50.035975,19.941658,50.036105,19.941461,4630.0,1918
50.036105,19.941461,50.036185,19.941342,4641.0,1918
50.036185,19.941342,50.036253,19.941249,4652.0,1918
50.036253,19.941249,50.036295,19.941193,4663.0,1918
50.036295,19.941193,50.036411,19.941027,4674.0,1918
50.036411,19.941027,50.036534,19.940868,4053.0,1923
50.036534,19.940868,50.036613,19.940762,4063.0,1923
50.036613,19.940762,50.036646,19.940718,4073.0,1923
50.036646,19.940718,50.036785,19.940532,4083.0,1923
50.036785,19.940532,50.036883,19.940393,4093.0,1923
50.036883,19.940393,50.037124,19.940077,4103.0,1923
50.037124,19.940077,50.03726,19.939899,4113.0,1923
50.03726,19.939899,50.037264,19.939893,4134.0,1931
50.037264,19.939893,50.03761,19.939445,4145.0,1931
50.03761,19.939445,50.037924,19.939053,4156.0,1931
50.037924,19.939053,50.038274,19.938594,4167.0,1931
50.038274,19.938594,50.038495,19.938302,4178.0,1931
50.038495,19.938302,50.038574,19.9382,4189.0,1931
50.038574,19.9382,50.03865,19.938109,4200.0,1931
50.03865,19.938109,50.038716,19.938035,4211.0,1931
50.038716,19.938035,50.038784,19.937958,4222.0,1931
50.038784,19.937958,50.0389,19.93783,4233.0,1931
50.0389,19.93783,50.038968,19.937763,4244.0,1931
50.038968,19.937763,50.039026,19.937708,4255.0,1931
50.039026,19.937708,50.039114,19.937624,4266.0,1931
50.039114,19.937624,50.039242,19.937508,4277.0,1931
50.039242,19.937508,50.039341,19.93742,4288.0,1931
50.039341,19.93742,50.039462,19.937322,4299.0,1931
50.039462,19.937322,50.039593,19.937219,3910.0,1544
50.039593,19.937219,50.039774,19.937087,4321.0,1931
50.039774,19.937087,50.039925,19.936973,4332.0,1931
50.039925,19.936973,50.040281,19.936712,4343.0,1931
50.040281,19.936712,50.040497,19.936548,4354.0,1931
50.040497,19.936548,50.040605,19.936467,4365.0,1931
50.040605,19.936467,50.041094,19.936104,4376.0,1931
50.041094,19.936104,50.041456,19.935839,4387.0,1931
50.041456,19.935839,50.041681,19.935681,4398.0,1931
50.041681,19.935681,50.041862,19.93556,4409.0,1931
50.041862,19.93556,50.04198,19.93549,4420.0,1931
50.04198,19.93549,50.042111,19.93542,4431.0,1931
50.042111,19.93542,50.042223,19.93536,4442.0,1931
50.042223,19.93536,50.042366,19.935293,4453.0,1931
50.042366,19.935293,50.04245,19.935256,4464.0,1931
50.04245,19.935256,50.042552,19.935218,4475.0,1931
50.042552,19.935218,50.042637,19.935187,4486.0,1931
50.042637,19.935187,50.042756,19.935143,4497.0,1931
50.042756,19.935143,50.042864,19.935111,4508.0,1931
50.042864,19.935111,50.042936,19.935091,4519.0,1931
50.042936,19.935091,50.04305,19.935062,4530.0,1931
50.04305,19.935062,50.043279,19.935003,4541.0,1931
50.043873,19.934855,50.044165,19.934783,4581.0,1931
50.044165,19.934783,50.044848,19.934609,4592.0,1931
50.044848,19.934609,50.04543,19.934462,4603.0,1931
50.04543,19.934462,50.04593,19.934336,4614.0,1931
50.04593,19.934336,50.046184,19.934273,4625.0,1931
50.046184,19.934273,50.046291,19.934245,4636.0,1931
50.046291,19.934245,50.046371,19.934221,4647.0,1931
50.046371,19.934221,50.046461,19.934194,4658.0,1931
50.046461,19.934194,50.046591,19.934144,4669.0,1931
50.046591,19.934144,50.046719,19.934092,4680.0,1931
50.046719,19.934092,50.04684,19.934034,4691.0,1931
50.04684,19.934034,50.046948,19.933978,4702.0,1931
50.046948,19.933978,50.047064,19.933916,4713.0,1931
50.047064,19.933916,50.047197,19.933902,4724.0,1931
50.047197,19.933902,50.04734,19.933857,4735.0,1931
50.04734,19.933857,50.047624,19.933683,4746.0,1931
50.047624,19.933683,50.047701,19.933628,4757.0,1931
50.047701,19.933628,50.047774,19.933572,4768.0,1931
50.047774,19.933572,50.048538,19.933012,4779.0,1931
50.048538,19.933012,50.048672,19.932908,4794.0,1931
50.048672,19.932908,50.048712,19.932878,4805.0,1931
50.048712,19.932878,50.04886,19.932767,4816.0,1931
50.04886,19.932767,50.048911,19.932729,4827.0,1931
50.048911,19.932729,50.049017,19.932641,4838.0,1931
50.049017,19.932641,50.049057,19.932611,4849.0,1931
50.049057,19.932611,50.04907,19.9326,4860.0,1931
50.04907,19.9326,50.049084,19.93259,4871.0,1931
50.049084,19.93259,50.049101,19.932578,3595.0,2045
50.049101,19.932578,50.049165,19.932531,3605.0,2045
50.049165,19.932531,50.049266,19.932451,3615.0,2045
50.049266,19.932451,50.049457,19.932306,3625.0,2045
50.049457,19.932306,50.049652,19.932161,3635.0,2045
50.049652,19.932161,50.049786,19.932062,3190.0,1658
50.049786,19.932062,50.049822,19.932035,3208.0,1658
