,betweenness
"[BUS]20.032364,50.082202",0.013971244290854183
"[BUS]20.033722,50.081178",0.00478941721557307
"[BUS]20.036068,50.0794",0.0018816786584238449
"[BUS]20.035596,50.081361",0.0018046863630891451
"[BUS]20.039585,50.079044",0.002582617646293177
"[BUS]20.036098,50.071749",0.04797550442384226
[ROAD]13823461,0.04175478775192285
[ROAD]13823470,0.0
[ROAD]13823472,0.0001841326730541954
[ROAD]13823473,0.0020957316143867654
"[BUS]19.864727,50.101518",0.04382844245501664
"[BUS]19.866922,50.100166",0.04444951416106017
"[BUS]20.031238,50.076531",0.048561874676364365
"[BUS]20.026822,50.079309",0.053596083376053594
"[BUS]20.020259,50.084925",0.042968585839547824
"[BUS]20.003392,50.087676",0.08613726209820631
"[BUS]19.987726,50.094311",0.006992200837192924
[ROAD]30371937,0.0003260046157201151
[ROAD]30371982,0.003981051136850567
"[BUS]19.901661,50.048878",0.0021049849862078414
"[BUS]19.904325,50.049099",0.007616660078548716
[ROAD]30372041,0.0005419074605318162
[ROAD]30372044,0.0005575038694883073
[ROAD]30372075,0.0005911789161750243
[ROAD]30372078,0.0009158992141593619
[ROAD]30372085,0.0006343901202393189
[ROAD]30372096,0.0008160562748284737
[ROAD]30375871,1.5808498123867083e-06
[ROAD]30375873,0.00018489658681446674
[ROAD]30376958,0.0007062176515906932
[ROAD]356950562,0.04881016563174223
"[BUS]19.965577,50.108799",0.026496264332102226
"[BUS]19.963738,50.10164",0.03129268049019871
"[BUS]19.94403,50.073753",0.054406295416047704
"[BUS]19.928526,50.071249",0.0712533313513208
"[BUS]19.932821,50.047996",0.016663425629982985
"[BUS]19.9326,50.04907",0.0007741529539629984
"[BUS]19.941932,50.051569",0.003104838126242165
[ROAD]31350002,0.00010868784312590652
"[BUS]19.988345,50.089454",0.010684954062978825
[ROAD]32063290,0.0004343134476487662
[ROAD]32063291,0.00010913755071228733
[ROAD]32063293,0.00012430388996826565
[ROAD]32063302,0.0035107787563886167
"[BUS]19.994256,50.095504",0.0033761479568384825
[ROAD]213608229,0.0014246775612315958
"[BUS]20.013127,50.094263",0.0006771064495797359
[ROAD]32063325,0.0017155617818650974
"[BUS]20.017146,50.091144",0.0018181815182577432
"[BUS]20.027577,50.088124",0.00236703293523254
"[BUS]20.029084,50.084519",0.0026301374025169454
"[BUS]20.007286,50.086883",0.04390365555789168
"[BUS]19.955006,50.08634",0.08756959778033029
"[BUS]19.887343,50.088314",0.003028354452151451
"[BUS]19.883252,50.090142",0.06189730051808042
[ROAD]32067567,0.03183628859164671
[ROAD]32122127,0.00010868391554873289
"[BUS]19.90265,50.062785",0.0049199869003256685
[ROAD]32122170,0.0002482209135849286
[ROAD]32122172,0.00010885672894437268
[ROAD]32122178,0.0006263778628051105
[ROAD]32122180,0.0002830369214405857
"[BUS]19.944262,50.055404",0.002096395374929109
[ROAD]32122185,0.0022646645637790066
"[BUS]19.943406,50.048153",0.006842852751376997
[ROAD]34802012,0.006701876296306666
[ROAD]34802048,0.0
[ROAD]34802052,0.07343137712811253
[ROAD]34802068,0.18144632809474662
"[BUS]19.914655,49.987245",0.04233821363075713
"[BUS]19.916959,49.991798",0.039559327097943235
"[BUS]19.922369,50.002104",0.033537801429961725
"[BUS]19.907471,50.008656",0.004447301678286718
[ROAD]34802139,0.007953324138718068
[ROAD]34802161,0.00044219674963244033
[ROAD]34802162,0.0008184357319994987
[ROAD]34802164,0.00046397712884881423
[ROAD]34802169,0.00011021043387688436
[ROAD]34802176,0.00032682547934940407
"[BUS]19.941034,50.036496",0.1894986585988576
"[BUS]19.933978,50.046948",0.033223147512273406
"[BUS]19.944991,50.055478",0.0003803819216890442
[ROAD]933274018,0.003755761382593886
[ROAD]34806052,0.006439584837497202
"[BUS]19.975513,50.058993",0.010283889519893438
[ROAD]34806110,0.0025897245971888633
"[BUS]20.01686,50.072635",0.010424972019547457
[ROAD]34806225,0.015364399117690213
[ROAD]37828762,0.15245459512625692
[ROAD]37828785,0.08471293409134316
"[BUS]19.924058,50.093988",0.0009772440420343135
"[BUS]19.922981,50.090726",0.10318365792323576
"[BUS]19.891254,50.096633",0.044096970906377826
[ROAD]264718177,0.04236865235385277
"[BUS]19.973643,50.089166",0.006679139552048512
"[BUS]19.915507,49.989251",0.06456895241132266
"[BUS]19.953818,50.084964",0.06871032724840086
[ROAD]152557370,0.0013720323167962384
[ROAD]152557372,0.0009830607838284618
[ROAD]152557376,0.0005432938952741082
[ROAD]283832948,0.021907754471691934
"[BUS]19.891009,50.087076",0.06902177233553833
[ROAD]2461450953,0.0409250399430671
"[BUS]19.880781,50.082198",0.02665922736419055
"[BUS]19.889083,50.08103",0.0619157287101791
[ROAD]206347785,0.0017957079216702233
"[BUS]19.890163,50.079815",0.05518965461090569
"[BUS]19.888306,50.075766",0.00615032270623641
[ROAD]2481954058,0.058139253285571485
"[BUS]19.903773,50.070144",0.06320972792368963
[ROAD]206349155,0.0004911867289115381
[ROAD]206349299,0.002603111743985187
"[BUS]19.880574,50.080894",0.017016161335946838
[ROAD]206349424,0.004251170256967078
[ROAD]206349426,0.0011299875183168452
