,degree
"[BUS]20.032364,50.082202",0.0009400263207369805
"[BUS]20.033722,50.081178",0.0008146894779720498
"[BUS]20.036068,50.0794",0.000501347371059723
"[BUS]20.035596,50.081361",0.0006893526352071191
"[BUS]20.039585,50.079044",0.0006893526352071191
"[BUS]20.036098,50.071749",0.0004386789496772576
[ROAD]13823461,0.0005640157924421883
[ROAD]13823470,0.00012533684276493074
[ROAD]13823472,0.0003760105282947922
[ROAD]13823473,0.0004386789496772576
"[BUS]19.864727,50.101518",0.0003760105282947922
"[BUS]19.866922,50.100166",0.000501347371059723
"[BUS]20.031238,50.076531",0.0006893526352071191
"[BUS]20.026822,50.079309",0.0011280315848843767
"[BUS]20.020259,50.084925",0.0007520210565895844
"[BUS]20.003392,50.087676",0.0008146894779720498
"[BUS]19.987726,50.094311",0.0012533684276493074
[ROAD]30371937,0.0003760105282947922
[ROAD]30371982,0.0006266842138246537
"[BUS]19.901661,50.048878",0.0006893526352071191
"[BUS]19.904325,50.049099",0.0008773578993545152
[ROAD]30372041,0.0001880052641473961
[ROAD]30372044,0.0002506736855298615
[ROAD]30372075,0.00031334210691232685
[ROAD]30372078,0.0002506736855298615
[ROAD]30372085,0.00031334210691232685
[ROAD]30372096,0.00031334210691232685
[ROAD]30375871,0.0002506736855298615
[ROAD]30375873,0.0002506736855298615
[ROAD]30376958,0.0003760105282947922
[ROAD]356950562,0.0001880052641473961
"[BUS]19.965577,50.108799",0.000501347371059723
"[BUS]19.963738,50.10164",0.0010653631635019114
"[BUS]19.94403,50.073753",0.0013160368490317729
"[BUS]19.928526,50.071249",0.0006266842138246537
"[BUS]19.932821,50.047996",0.0003760105282947922
"[BUS]19.9326,50.04907",0.0008773578993545152
"[BUS]19.941932,50.051569",0.0008146894779720498
[ROAD]31350002,0.0002506736855298615
"[BUS]19.988345,50.089454",0.0007520210565895844
[ROAD]32063290,0.000501347371059723
[ROAD]32063291,0.000501347371059723
[ROAD]32063293,0.0002506736855298615
[ROAD]32063302,0.000501347371059723
"[BUS]19.994256,50.095504",0.0011280315848843767
[ROAD]213608229,0.0006266842138246537
"[BUS]20.013127,50.094263",0.0004386789496772576
[ROAD]32063325,0.000501347371059723
"[BUS]20.017146,50.091144",0.0006893526352071191
"[BUS]20.027577,50.088124",0.0011280315848843767
"[BUS]20.029084,50.084519",0.0008773578993545152
"[BUS]20.007286,50.086883",0.0006266842138246537
"[BUS]19.955006,50.08634",0.0010653631635019114
"[BUS]19.887343,50.088314",0.0006266842138246537
"[BUS]19.883252,50.090142",0.0006893526352071191
[ROAD]32067567,0.0005640157924421883
[ROAD]32122127,0.0003760105282947922
"[BUS]19.90265,50.062785",0.0006266842138246537
[ROAD]32122170,0.00031334210691232685
[ROAD]32122172,0.0001880052641473961
[ROAD]32122178,0.0003760105282947922
[ROAD]32122180,0.00031334210691232685
"[BUS]19.944262,50.055404",0.0006266842138246537
[ROAD]32122185,0.0006266842138246537
"[BUS]19.943406,50.048153",0.0010653631635019114
[ROAD]34802012,0.0001880052641473961
[ROAD]34802048,0.00012533684276493074
[ROAD]34802052,0.0001880052641473961
[ROAD]34802068,0.00031334210691232685
"[BUS]19.914655,49.987245",0.001190700006266842
"[BUS]19.916959,49.991798",0.0007520210565895844
"[BUS]19.922369,50.002104",0.0007520210565895844
"[BUS]19.907471,50.008656",0.0006893526352071191
[ROAD]34802139,0.0007520210565895844
[ROAD]34802161,0.00031334210691232685
[ROAD]34802162,0.0003760105282947922
[ROAD]34802164,0.0003760105282947922
[ROAD]34802169,0.0003760105282947922
[ROAD]34802176,0.0003760105282947922
"[BUS]19.941034,50.036496",0.0010653631635019114
"[BUS]19.933978,50.046948",0.0007520210565895844
"[BUS]19.944991,50.055478",0.000501347371059723
[ROAD]933274018,0.0007520210565895844
[ROAD]34806052,0.0001880052641473961
"[BUS]19.975513,50.058993",0.0013160368490317729
[ROAD]34806110,0.000501347371059723
"[BUS]20.01686,50.072635",0.0012533684276493074
[ROAD]34806225,0.0002506736855298615
[ROAD]37828762,0.0001880052641473961
[ROAD]37828785,0.0001880052641473961
"[BUS]19.924058,50.093988",0.0005640157924421883
"[BUS]19.922981,50.090726",0.0014413736917967034
"[BUS]19.891254,50.096633",0.0005640157924421883
[ROAD]264718177,0.0006893526352071191
"[BUS]19.973643,50.089166",0.0010653631635019114
"[BUS]19.915507,49.989251",0.0009400263207369805
"[BUS]19.953818,50.084964",0.0008773578993545152
[ROAD]152557370,0.0003760105282947922
[ROAD]152557372,0.0003760105282947922
[ROAD]152557376,0.0003760105282947922
[ROAD]283832948,0.0009400263207369805
"[BUS]19.891009,50.087076",0.0008773578993545152
[ROAD]2461450953,0.0009400263207369805
"[BUS]19.880781,50.082198",0.0008773578993545152
"[BUS]19.889083,50.08103",0.0009400263207369805
[ROAD]206347785,0.0005640157924421883
"[BUS]19.890163,50.079815",0.000501347371059723
"[BUS]19.888306,50.075766",0.0007520210565895844
[ROAD]2481954058,0.0008773578993545152
"[BUS]19.903773,50.070144",0.0007520210565895844
[ROAD]206349155,0.00031334210691232685
[ROAD]206349299,0.0003760105282947922
"[BUS]19.880574,50.080894",0.0005640157924421883
[ROAD]206349424,0.0003760105282947922
[ROAD]206349426,0.0003760105282947922
[ROAD]206349428,0.0003760105282947922
[ROAD]206349431,0.0003760105282947922
[ROAD]206349435,0.0006266842138246537
[ROAD]206349442,0.0003760105282947922
"[BUS]19.871823,50.080788",0.0007520210565895844
[ROAD]206349542,0.0003760105282947922
[ROAD]206349580,0.0003760105282947922
[ROAD]206349582,0.0003760105282947922
[ROAD]206349645,0.0003760105282947922
[ROAD]206349803,0.0002506736855298615
[ROAD]206349814,0.0003760105282947922
[ROAD]206349818,0.0003760105282947922
[ROAD]206349827,0.0003760105282947922
[ROAD]206349869,0.0003760105282947922
[ROAD]206349872,0.0003760105282947922
[ROAD]206349954,0.00012533684276493074
[ROAD]206350017,0.0002506736855298615
[ROAD]206350176,0.0002506736855298615
[ROAD]206350267,0.00031334210691232685
[ROAD]206350271,0.0004386789496772576
[ROAD]206350273,0.00031334210691232685
[ROAD]206350279,0.000501347371059723
[ROAD]206350343,0.0001880052641473961
[ROAD]206350462,0.0003760105282947922
[ROAD]206350619,0.0002506736855298615
[ROAD]206350629,0.00031334210691232685
[ROAD]206350833,0.0001880052641473961
[ROAD]206350843,0.00031334210691232685
"[BUS]19.915686,50.08168",0.000501347371059723
[ROAD]206351242,0.000501347371059723
[ROAD]206351244,0.0003760105282947922
[ROAD]206351247,0.00031334210691232685
"[BUS]19.918853,50.080283",0.0007520210565895844
"[BUS]19.915739,50.082391",0.0010653631635019114
[ROAD]206351484,0.0005640157924421883
"[BUS]19.921441,50.082987",0.000501347371059723
"[BUS]19.922972,50.083477",0.0003760105282947922
[ROAD]206351490,0.0007520210565895844
[ROAD]206351791,0.0003760105282947922
[ROAD]206351792,0.00031334210691232685
[ROAD]206351797,0.0003760105282947922
[ROAD]206351798,0.0003760105282947922
[ROAD]206351809,0.0005640157924421883
[ROAD]206351930,0.00031334210691232685
[ROAD]7703159032,0.0003760105282947922
"[BUS]19.909574,50.083126",0.0007520210565895844
"[BUS]19.908421,50.084387",0.0006266842138246537
"[BUS]19.909292,50.087141",0.0012533684276493074
[ROAD]206352274,0.000501347371059723
[ROAD]206352275,0.0004386789496772576
[ROAD]206352276,0.0003760105282947922
[ROAD]206352278,0.00031334210691232685
[ROAD]206352280,0.0003760105282947922
[ROAD]206352532,0.0003760105282947922
[ROAD]206352850,0.0002506736855298615
"[BUS]19.912068,50.088421",0.0010653631635019114
"[BUS]19.916476,50.085526",0.0008773578993545152
[ROAD]206352952,0.0003760105282947922
[ROAD]206352955,0.0005640157924421883
[ROAD]206352956,0.00031334210691232685
[ROAD]206352957,0.00031334210691232685
[ROAD]206352958,0.0003760105282947922
