,from,to,edge_betweenness
0,"[BUS]20.032364,50.082202","[BUS]20.038086,50.085268",0.004707251408670891
1,"[BUS]20.032364,50.082202","[BUS]20.032364,50.082202",0.0
2,"[BUS]20.032364,50.082202","[BUS]20.033722,50.081178",0.0022334274522071208
3,"[BUS]20.032364,50.082202","[BUS]20.026822,50.079309",0.004131077361271935
4,"[BUS]20.032364,50.082202","[BUS]20.031238,50.083002",0.0
5,"[BUS]20.032364,50.082202","[BUS]20.030969,50.081434",8.329347145770713e-06
6,"[BUS]20.032364,50.082202","[BUS]20.031558,50.082777",0.0029360025823882193
7,"[BUS]20.033722,50.081178","[BUS]20.033722,50.081178",0.0
8,"[BUS]20.033722,50.081178",[ROAD]13823473,0.00046559911690227326
9,"[BUS]20.033722,50.081178","[BUS]20.035596,50.081361",0.0014034380513308171
10,"[BUS]20.033722,50.081178",[ROAD]282189299,0.00012408802975580528
11,"[BUS]20.033722,50.081178",[ROAD]1233263193,0.00018617524256798587
12,"[BUS]20.033722,50.081178","[BUS]20.032364,50.082202",0.0026561113849467434
13,"[BUS]20.036068,50.0794","[BUS]20.037333,50.079204",2.3641051304827767e-06
14,"[BUS]20.036068,50.0794",[ROAD]1409405161,0.00037348148559706646
15,"[BUS]20.036068,50.0794",[ROAD]13823473,0.0015521921015593174
16,"[BUS]20.036068,50.0794","[BUS]20.036068,50.0794",0.0
17,"[BUS]20.035596,50.081361","[BUS]20.037801,50.081556",0.0
18,"[BUS]20.035596,50.081361","[BUS]20.033722,50.081178",0.0005084946656402523
19,"[BUS]20.035596,50.081361",[ROAD]282664373,0.00012399377971738073
20,"[BUS]20.035596,50.081361",[ROAD]1233263213,0.00012417442562436115
21,"[BUS]20.035596,50.081361","[BUS]20.035596,50.081361",0.0
22,"[BUS]20.035596,50.081361","[BUS]20.036164,50.08167",0.0010943921753366766
23,"[BUS]20.039585,50.079044",[ROAD]1464114604,0.0004880266989623848
24,"[BUS]20.039585,50.079044","[BUS]20.039388,50.078439",6.401148443001538e-07
25,"[BUS]20.039585,50.079044",[ROAD]283586918,0.000653832151975862
26,"[BUS]20.039585,50.079044","[BUS]20.037954,50.079122",0.0
27,"[BUS]20.039585,50.079044","[BUS]20.039585,50.079044",0.0
28,"[BUS]20.039585,50.079044","[BUS]20.038326,50.079074",0.0014863898663992352
29,"[BUS]20.036098,50.071749","[BUS]20.036098,50.071749",0.0
30,"[BUS]20.036098,50.071749",[ROAD]506889790,0.007044526694882143
31,"[BUS]20.036098,50.071749",[ROAD]13823461,0.04097155987025948
32,[ROAD]13823461,"[BUS]20.036098,50.071749",0.00016763154750795318
33,[ROAD]13823461,"[BUS]20.038221,50.072448",8.561045156897763e-07
34,[ROAD]13823461,[ROAD]13823461,0.0
35,[ROAD]13823461,[ROAD]1236006467,6.20832857272462e-05
36,[ROAD]13823461,[ROAD]529083462,0.04156557859160015
37,[ROAD]13823470,[ROAD]13823472,4.65948627461431e-05
38,[ROAD]13823472,[ROAD]13823470,6.20832857272462e-05
39,[ROAD]13823472,[ROAD]1412918898,2.886014718258792e-05
40,[ROAD]13823472,[ROAD]13823473,0.00013976102572882317
41,[ROAD]13823473,[ROAD]13823472,0.00015297959361786805
42,[ROAD]13823473,"[BUS]20.036068,50.0794",0.00019036151510801018
43,[ROAD]13823473,"[BUS]20.033722,50.081178",0.0
44,[ROAD]13823473,"[BUS]20.034611,50.080494",0.0017987227124834323
45,"[BUS]19.864727,50.101518","[BUS]19.864727,50.101518",0.0
46,"[BUS]19.864727,50.101518","[BUS]19.866922,50.100166",0.023315971141046648
47,"[BUS]19.864727,50.101518","[BUS]19.863701,50.102345",0.02055357320235154
48,"[BUS]19.866922,50.100166","[BUS]19.864727,50.101518",0.020606313953019952
49,"[BUS]19.866922,50.100166",[ROAD]976683996,0.0003103378869375439
50,"[BUS]19.866922,50.100166","[BUS]19.86821,50.098224",0.023573886371195465
51,"[BUS]19.866922,50.100166","[BUS]19.866922,50.100166",0.0
52,"[BUS]20.031238,50.076531","[BUS]20.029189,50.078099",0.005076079298620745
53,"[BUS]20.031238,50.076531",[ROAD]1417493490,0.0007424978756237693
54,"[BUS]20.031238,50.076531","[BUS]20.031238,50.076531",0.0
55,"[BUS]20.031238,50.076531","[BUS]20.032464,50.075683",0.04237067420107757
56,"[BUS]20.031238,50.076531",[ROAD]967038286,0.00041313195315095537
57,"[BUS]20.026822,50.079309","[BUS]20.026822,50.079309",0.0
58,"[BUS]20.026822,50.079309","[BUS]20.032364,50.082202",0.00853364981239569
59,"[BUS]20.026822,50.079309",[ROAD]1417493609,0.0012372673794184446
60,"[BUS]20.026822,50.079309","[BUS]20.029189,50.078099",0.042199924548131734
61,"[BUS]20.026822,50.079309","[BUS]20.023311,50.077306",0.0013325423870108742
62,"[BUS]20.026822,50.079309","[BUS]20.024812,50.078116",6.20832857272462e-05
63,"[BUS]20.026822,50.079309","[BUS]20.02837,50.078707",0.00015466038596977276
64,"[BUS]20.026822,50.079309","[BUS]20.02188,50.076539",0.0
65,"[BUS]20.026822,50.079309",[ROAD]1671278917,0.0
66,"[BUS]20.026822,50.079309","[BUS]20.030969,50.081434",0.00011583329722378736
67,"[BUS]20.020259,50.084925","[BUS]20.020292,50.087195",0.0001604803258424895
68,"[BUS]20.020259,50.084925","[BUS]20.020259,50.084925",0.0
