,eigen
"[BUS]20.032364,50.082202",2.7399802441749242e-14
"[BUS]20.033722,50.081178",2.140391745662821e-15
"[BUS]20.036068,50.0794",3.5898244202599086e-18
"[BUS]20.035596,50.081361",1.665148117141293e-16
"[BUS]20.039585,50.079044",3.997195176266003e-19
"[BUS]20.036098,50.071749",2.1017141023053225e-14
[ROAD]13823461,3.730870063900832e-14
[ROAD]13823470,6.00265132470655e-20
[ROAD]13823472,2.1778956667996653e-18
[ROAD]13823473,7.890113945102794e-17
"[BUS]19.864727,50.101518",8.236706326036267e-20
"[BUS]19.866922,50.100166",2.508595142252857e-18
"[BUS]20.031238,50.076531",7.491538500657565e-13
"[BUS]20.026822,50.079309",1.44038756549553e-13
"[BUS]20.020259,50.084925",1.1055630612346365e-15
"[BUS]20.003392,50.087676",4.1951567387492775e-15
"[BUS]19.987726,50.094311",1.680533360947502e-18
[ROAD]30371937,3.944932241773954e-10
[ROAD]30371982,5.989182323813348e-17
"[BUS]19.901661,50.048878",3.4584178708126025e-13
"[BUS]19.904325,50.049099",3.738355797256494e-12
[ROAD]30372041,4.7480632295493154e-17
[ROAD]30372044,2.252948832877326e-15
[ROAD]30372075,3.860154754678728e-10
[ROAD]30372078,8.668723606555633e-07
[ROAD]30372085,3.876730268920357e-10
[ROAD]30372096,1.5776183323826767e-18
[ROAD]30375871,4.808176812964391e-22
[ROAD]30375873,8.164661119513406e-20
[ROAD]30376958,4.645757661791228e-17
[ROAD]356950562,0.20975166356729558
"[BUS]19.965577,50.108799",7.416862257600594e-15
"[BUS]19.963738,50.10164",1.5477057471353743e-13
"[BUS]19.94403,50.073753",8.929216115633366e-11
"[BUS]19.928526,50.071249",3.761606278294869e-10
"[BUS]19.932821,50.047996",3.0705663984501085e-07
"[BUS]19.9326,50.04907",6.708912114852393e-06
"[BUS]19.941932,50.051569",1.4002722776299832e-17
[ROAD]31350002,1.0387137979364699e-19
"[BUS]19.988345,50.089454",1.1862670987480273e-17
[ROAD]32063290,1.8945295288939125e-25
[ROAD]32063291,1.7156673771470251e-25
[ROAD]32063293,2.684652213174834e-23
[ROAD]32063302,8.686730227670725e-20
"[BUS]19.994256,50.095504",5.240592829598065e-21
[ROAD]213608229,1.7135207813685768e-20
"[BUS]20.013127,50.094263",4.620222893160536e-21
[ROAD]32063325,2.193869672707076e-19
"[BUS]20.017146,50.091144",4.650166627010521e-19
"[BUS]20.027577,50.088124",9.16465457016588e-19
"[BUS]20.029084,50.084519",2.0701082430804938e-17
"[BUS]20.007286,50.086883",3.9944039373901236e-15
"[BUS]19.955006,50.08634",2.08049251739726e-11
"[BUS]19.887343,50.088314",1.223782315814196e-14
"[BUS]19.883252,50.090142",5.621256190187116e-16
[ROAD]32067567,4.988354960786923e-18
[ROAD]32122127,1.1502906503861036e-17
"[BUS]19.90265,50.062785",3.005142028198906e-14
[ROAD]32122170,1.1147420599014748e-25
[ROAD]32122172,1.1147224827788967e-25
[ROAD]32122178,2.2776591370028574e-25
[ROAD]32122180,3.6484070652627467e-22
"[BUS]19.944262,50.055404",1.556793621282514e-20
[ROAD]32122185,7.453157850982693e-22
"[BUS]19.943406,50.048153",3.860008132787066e-16
[ROAD]34802012,5.768116606150837e-07
[ROAD]34802048,1.669925154115407e-183
[ROAD]34802052,3.8714343818449326e-05
[ROAD]34802068,0.14929463513165922
"[BUS]19.914655,49.987245",0.000949196188381333
"[BUS]19.916959,49.991798",0.013531882221708072
"[BUS]19.922369,50.002104",1.0717162259089686e-05
"[BUS]19.907471,50.008656",1.3715098791097488e-14
[ROAD]34802139,1.1487822059444334e-15
[ROAD]34802161,4.1180979059900237e-16
[ROAD]34802162,1.4567896392886462e-21
[ROAD]34802164,5.99368060382255e-20
[ROAD]34802169,5.99276531288219e-20
[ROAD]34802176,4.938155413259344e-18
"[BUS]19.941034,50.036496",2.896831151937715e-06
"[BUS]19.933978,50.046948",9.787310999948887e-06
"[BUS]19.944991,50.055478",3.710717748693423e-21
[ROAD]933274018,2.993812908398243e-20
[ROAD]34806052,4.867037642544724e-22
"[BUS]19.975513,50.058993",1.9123557967688073e-15
[ROAD]34806110,1.5258284415943263e-18
"[BUS]20.01686,50.072635",9.302924421104754e-18
[ROAD]34806225,1.3402622497168752e-13
[ROAD]37828762,0.006925514208924352
[ROAD]37828785,0.0010330955242722638
"[BUS]19.924058,50.093988",5.252329565471651e-17
"[BUS]19.922981,50.090726",1.2692345012903837e-15
"[BUS]19.891254,50.096633",9.807457431115979e-14
[ROAD]264718177,3.690152117613105e-14
"[BUS]19.973643,50.089166",1.2363284211393838e-16
"[BUS]19.915507,49.989251",0.005734500261897762
"[BUS]19.953818,50.084964",7.520118443056799e-11
[ROAD]152557370,1.8048594635176682e-12
[ROAD]152557372,4.3332724268990044e-14
[ROAD]152557376,2.5168951495893274e-17
[ROAD]283832948,2.4603875013497724e-21
"[BUS]19.891009,50.087076",8.783568141884528e-13
[ROAD]2461450953,3.361345894103547e-11
"[BUS]19.880781,50.082198",4.959601664589033e-12
"[BUS]19.889083,50.08103",2.593556915620055e-11
[ROAD]206347785,3.377077702298706e-15
"[BUS]19.890163,50.079815",1.7324996127142451e-12
"[BUS]19.888306,50.075766",2.6386045196714713e-13
[ROAD]2481954058,1.572641382585333e-13
"[BUS]19.903773,50.070144",6.650362350298531e-13
[ROAD]206349155,7.788208091932355e-16
[ROAD]206349299,2.086734696813815e-15
"[BUS]19.880574,50.080894",8.923997473524427e-13
[ROAD]206349424,8.574815739836053e-15
[ROAD]206349426,9.06662022018324e-18
[ROAD]206349428,2.9749354786176817e-19
[ROAD]206349431,8.413970136975411e-20
[ROAD]206349435,7.027432451272592e-17
[ROAD]206349442,1.5090895811161358e-14
"[BUS]19.871823,50.080788",1.968289733612974e-13
[ROAD]206349542,2.787803549748214e-16
[ROAD]206349580,1.7330364036056453e-19
[ROAD]206349582,4.354477155924989e-21
[ROAD]206349645,6.839603987383298e-18
[ROAD]206349803,1.6774084357144003e-19
[ROAD]206349814,1.068904800738185e-22
[ROAD]206349818,5.077416951023465e-23
[ROAD]206349827,2.066768240034203e-21
[ROAD]206349869,2.267849137542703e-19
[ROAD]206349872,1.2860094349294331e-20
[ROAD]206349954,7.740684349785954e-24
[ROAD]206350017,4.218796474533592e-21
[ROAD]206350176,3.869696928751016e-21
[ROAD]206350267,6.989024466711721e-17
[ROAD]206350271,3.2771639942821834e-15
[ROAD]206350273,1.4317400368356526e-17
[ROAD]206350279,1.0520547029441969e-17
[ROAD]206350343,7.354866547946732e-22
[ROAD]206350462,3.264397160674497e-15
[ROAD]206350619,1.6401956285313596e-14
