,pagerank
"[BUS]20.032364,50.082202",0.00022868420743004633
"[BUS]20.033722,50.081178",0.00015208788094031006
"[BUS]20.036068,50.0794",0.0001260025402939002
"[BUS]20.035596,50.081361",8.560689092049927e-05
"[BUS]20.039585,50.079044",0.00010013347195075366
"[BUS]20.036098,50.071749",0.00017130851112085339
[ROAD]13823461,0.00017168967136998057
[ROAD]13823470,3.2741588059753294e-05
[ROAD]13823472,8.41469537707204e-05
[ROAD]13823473,8.934539218231656e-05
"[BUS]19.864727,50.101518",0.00013213960831436907
"[BUS]19.866922,50.100166",0.00013609089379993625
"[BUS]20.031238,50.076531",0.00022274418685372404
"[BUS]20.026822,50.079309",0.0002996335981119574
"[BUS]20.020259,50.084925",0.00016989310504603912
"[BUS]20.003392,50.087676",0.00017374132786779172
"[BUS]19.987726,50.094311",0.00018302542980984314
[ROAD]30371937,5.2001716343227465e-05
[ROAD]30371982,0.00013446118808186036
"[BUS]19.901661,50.048878",0.00017600846691365033
"[BUS]19.904325,50.049099",0.0001714644452840738
[ROAD]30372041,3.1422951921982325e-05
[ROAD]30372044,5.322564191487906e-05
[ROAD]30372075,4.0409798377150996e-05
[ROAD]30372078,2.9892640259218572e-05
[ROAD]30372085,5.622029484835646e-05
[ROAD]30372096,0.00012173404987642982
[ROAD]30375871,8.395434697741211e-05
[ROAD]30375873,4.3369362245279276e-05
[ROAD]30376958,7.628386333270524e-05
[ROAD]356950562,8.248690696283248e-05
"[BUS]19.965577,50.108799",0.0001623533727499283
"[BUS]19.963738,50.10164",0.00021057823304755795
"[BUS]19.94403,50.073753",0.00023390179753291808
"[BUS]19.928526,50.071249",0.00019347308022383124
"[BUS]19.932821,50.047996",6.971358085691754e-05
"[BUS]19.9326,50.04907",0.00015167318086378858
"[BUS]19.941932,50.051569",0.00019274519687813836
[ROAD]31350002,4.216644783914214e-05
"[BUS]19.988345,50.089454",0.00013183642415334773
[ROAD]32063290,8.044920595570513e-05
[ROAD]32063291,5.751582930248672e-05
[ROAD]32063293,5.7731417714127454e-05
[ROAD]32063302,8.287276391534502e-05
"[BUS]19.994256,50.095504",0.00015788357936831232
[ROAD]213608229,0.0001058177990089814
"[BUS]20.013127,50.094263",0.0001061498145391771
[ROAD]32063325,0.00011798414837496321
"[BUS]20.017146,50.091144",0.00015883452738503097
"[BUS]20.027577,50.088124",0.00018279247721380917
"[BUS]20.029084,50.084519",0.0001307438224138149
"[BUS]20.007286,50.086883",0.00011180653393588791
"[BUS]19.955006,50.08634",0.00022977644841215314
"[BUS]19.887343,50.088314",0.00010740461372928573
"[BUS]19.883252,50.090142",0.00013493350706609688
[ROAD]32067567,0.0001044074916550635
[ROAD]32122127,8.280387447601197e-05
"[BUS]19.90265,50.062785",0.00016354155869261226
[ROAD]32122170,6.688504130124845e-05
[ROAD]32122172,6.50809877265669e-05
[ROAD]32122178,7.04767060862017e-05
[ROAD]32122180,7.631915553433893e-05
"[BUS]19.944262,50.055404",0.00017237195826261349
[ROAD]32122185,8.608613956954746e-05
"[BUS]19.943406,50.048153",0.00020305904756866435
[ROAD]34802012,4.098675384520296e-05
[ROAD]34802048,9.413564771592724e-06
[ROAD]34802052,6.116400891285609e-05
[ROAD]34802068,0.00013931306738029613
"[BUS]19.914655,49.987245",0.00024705258572755716
"[BUS]19.916959,49.991798",0.00011692709942890058
"[BUS]19.922369,50.002104",0.00023501530566159162
"[BUS]19.907471,50.008656",0.00010676786142827026
[ROAD]34802139,0.00012083109858714548
[ROAD]34802161,3.084406011399297e-05
[ROAD]34802162,6.978500731054683e-05
[ROAD]34802164,6.966012067841655e-05
[ROAD]34802169,7.585894691341002e-05
[ROAD]34802176,7.090033856476955e-05
"[BUS]19.941034,50.036496",0.00019829700827264226
"[BUS]19.933978,50.046948",0.00014999259902784905
"[BUS]19.944991,50.055478",0.00019767969714847334
[ROAD]933274018,0.00017779179083758144
[ROAD]34806052,6.484841365207994e-05
"[BUS]19.975513,50.058993",0.0001871374298856528
[ROAD]34806110,0.00011554346092568294
"[BUS]20.01686,50.072635",0.0002789478160189613
[ROAD]34806225,8.667522119533049e-05
[ROAD]37828762,7.755279433998629e-05
[ROAD]37828785,2.3429159134963537e-05
"[BUS]19.924058,50.093988",0.00011106818455687154
"[BUS]19.922981,50.090726",0.0002774484524777586
"[BUS]19.891254,50.096633",9.883810890874389e-05
[ROAD]264718177,0.0001472162680702542
"[BUS]19.973643,50.089166",0.0001729456257933166
"[BUS]19.915507,49.989251",0.00017194774755110087
"[BUS]19.953818,50.084964",0.00021132311667553408
[ROAD]152557370,4.989616943735182e-05
[ROAD]152557372,5.55233546149293e-05
[ROAD]152557376,8.604726434621106e-05
[ROAD]283832948,0.0001711364695884445
"[BUS]19.891009,50.087076",0.00016039461771559757
[ROAD]2461450953,0.00019674538781569383
"[BUS]19.880781,50.082198",0.00019294284939060493
"[BUS]19.889083,50.08103",0.00015349034694147053
[ROAD]206347785,0.0001129470970327497
"[BUS]19.890163,50.079815",9.05290828593244e-05
"[BUS]19.888306,50.075766",9.896803560134463e-05
[ROAD]2481954058,0.00019373717987968749
"[BUS]19.903773,50.070144",0.00020470199074122756
[ROAD]206349155,4.81082937765246e-05
